precipitation,delta_surface_storage,delta_storage_canopy,delta_storage_snow,delta_storage_subsurface,evaptranssum,evaporation,surface_runoff,transpiration,deep_drainage,recharge
0,0,0.0134681358806429,0,-0.0639018372448845,-0.0546938906522353,0.0412257547715924,0,0,0.00748439847955575,0.00920928535375188
0,0,0.0128339422822485,0,-0.0701149208202878,-0.0618158972685376,0.0489819549862891,0,0,0.00724610385752978,0.00830005971664148
0,0,0.0112204681724927,0,-0.0577007330666675,-0.0498982913866512,0.0386778232141585,0,0,0.00707615482952147,0.00780401103095094
0,0,0.0105246622874716,0,-0.0511349114453878,-0.0436684149702467,0.0331437526827751,0,0,0.00694403584943004,0.00746934524152453
0,0,0.0112971680669036,0,-0.0469981009919138,-0.0397805737152001,0.0284834056482965,0,0,0.00683557972709172,0.00721937149482269
0,0,0.0114667639541867,0,-0.0415419848823149,-0.0345199181122993,0.0230531541581126,0,0,0.00674336642044321,0.00702340425390227
0,0,0.011782353292778,0,-0.0371594377470501,-0.0302978048294665,0.0185154515366884,0,0,0.00666310002001517,0.00686611625801274
0,0,0.0130097851975602,0,-0.0333232045627483,-0.0265933338222503,0.0135835486246901,0,0,0.00659207208480714,0.00673347813322448
0,0,0.00937040725912833,0,-0.0293535732239434,-0.0227361052679267,0.0133656980087984,0,0,0.00652845713810765,0.00662053358301267
0,0,0.0126850414488265,0,-0.0194410068152138,-0.0129205192805328,0.000235477831706374,0,0,0.00647095307876016,0.00652356130119108
0,0,0.0067310653578066,0,-0.0181842672327548,-0.0117485094488232,0.00501744409101662,0,0,0.00641859085865358,0.00643845717987699
0,0,-0.124389793200046,0,-0.0460080731199923,-0.0396480456416226,0.154780301157121,0,0.00925753768454683,0.00637061409023537,0.00636286216291269
0,0,2.19376066735844e-10,0,-0.0658060300106627,-0.0595132928702954,0.0576256932315789,0,0.00188759941934042,0.00632644374075656,0.00629657216591821
0,0,-9.47188385519737e-11,0,-0.170469145750758,-0.164236567161437,0.0464744120903069,0,0.117762155165849,0.00628547232080768,0.0062368452063223
0,0,-1.42053825201406e-11,0,-0.167924190146095,-0.161745255580419,0.047305018081593,0,0.114440237513032,0.00624734869081877,0.00618283768855943
0,0,-1.68571709695371e-11,0,-0.159704241501458,-0.153573654152232,0.0475456194410289,0,0.10602803472806,0.00621177558642192,0.00613388527397865
0,0,-1.47126275044968e-11,0,-0.146118728772763,-0.140032278271416,0.0456604777584532,0,0.0943718005276758,0.00617850019788797,0.00608931339831077
0,0,-2.21944343304489e-11,0,-0.110050116169077,-0.104004090019752,0.0395010585387182,0,0.0645030315032285,0.00614732342137249,0.00604846191332674
0,0,-1.94407612123228e-11,0,-0.0764283208213783,-0.070419975033034,0.0319706755329585,0,0.0384492995195162,0.00611806509842493,0.0060109556719975
0,0,0.00428201583651158,0,-0.0170025775587419,-0.0110270719579722,0.00674505612146062,0,0,0.00609057913014751,0.0059766740747186
0,0,0.00532311712856828,0,-0.0181008465938248,-0.0121569860730196,0.0068338689444513,0,0,0.00606469481695459,0.00594492985250436
0,0,-0.00370787752411448,0,-0.0248996271116084,-0.0189853718570818,0.0226360183387464,0,5.72310424498549e-05,0.0060402660698898,0.00591526266907089
0,0,-0.00589725547821224,0,-0.0326668540965329,-0.02678024101925,0.0325048749168017,0,0.000172621580660487,0.00601716645051033,0.00588776144701406
0,0,1.06810506007675e-11,0,-0.0318204484960916,-0.0259592891819997,0.0259440811932605,0,1.52079780581595e-05,0.00599528537974058,0.00586215265054605
0,0,-1.4899040837075e-12,0,-0.0306026834323347,-0.0247653379791501,0.0245576288326017,0,0.000207709148038364,0.00597452481686254,0.00583825952192173
0,0,-2.37037006422296e-12,0,-0.0289575738647727,-0.0231425100885186,0.0229875072755372,0,0.000155002815351763,0.00595479777119211,0.00581590127292544
0,0,-2.67160344145194e-12,0,-0.0254410406432726,-0.0196468243286588,0.019544219244426,0,0.000102605086904426,0.00593602637082028,0.00579493372391145
0,0,-1.47170463352324e-12,0,-0.0233637013184307,-0.0175891248817778,0.0175202130235476,0,6.89118597019186e-05,0.00591814063599178,0.00577524090635552
0,0,2.65366542423054e-13,0,-0.0234844098445137,-0.0177283711278018,0.0176531354228442,0,7.52357046922622e-05,0.00590107738530869,0.00575669778799208
0,0,0.00505947610705618,0,-0.0167754153749229,-0.011036697517462,0.00597722141040579,0,0,0.00588477944643568,0.00573928257257215
0,0,0.00608005462563692,0,-0.0159096647307706,-0.010187425422864,0.00410737079722705,0,0,0.00586919492626845,0.00572280850343876
0,0,-0.00726296688400868,0,-0.0233827909819411,-0.0176763254529009,0.0248565989306658,0,8.26934062437819e-05,0.00585427650940813,0.00570712580650762
0,0,-0.00317243420332118,0,-0.0201976961948276,-0.0145058978328951,0.0175890883568345,0,8.92436793817625e-05,0.0058399809076657,0.00569231013605165
0,0,0.00208375087286949,0,-0.0147698457958541,-0.00909196411844658,0.00700821324557709,0,0,0.00582626875373074,0.00567836626425307
0,0,-0.00278788052117556,0,-0.0212643247341475,-0.0155998721014703,0.0180374267546788,0,0.000350325867967103,0.00581310351901371,0.00566501158068808
0,0,1.23913693940437e-10,0,-0.0498576771947228,-0.0442045491751658,0.0312237813029516,0,0.0129807677483005,0.00580043834280147,0.00565253673680536
0,0,-1.73215949972997e-11,0,-0.129448262890492,-0.123809251700992,0.0331777875722012,0,0.0906314641461122,0.00578816476126693,0.00564046793728073
0,0,-1.09631647133205e-11,0,-0.113163766728121,-0.107536443648228,0.0357814797514318,0,0.0717549639077595,0.00577629922683124,0.00562896076315384
