"","runname","soil","precip.depth","runoff.depth","ET.depth","drainage.depth","runoff.precip","ET.precip","drainage.precip","amended.pixels","type","type.short","size","downspout.key","frontwalk.key","driveway.key","sidewalk.key","amended.area.m2","runoff.diff","ET.diff","drainage.diff","runoff.diff.precip","drainage.diff.precip","ET.diff.precip","runoff.diff.rel","ET.diff.rel","drainage.diff.rel"
"1","amend_feature_ds0_fw0_dw0_sw1","Measured Soil",744.2532,13.6127313113564,354.02128446768,392.494699806582,1.82904572145022,47.5673177445095,52.7367164570582,38,"Sidewalk","sw","s",0,0,0,1,9.5,-1.17541260722258,0.575258144806924,0.738691743101981,-0.00157931817723133,0.00099252746659602,0.000772933384508019,10.9048857926815,1.7723916929413,15.32293887119
"2","amend_feature_ds0_fw0_dw0_sw1","Clay Loam Soil",744.2532,248.080539032562,388.246322983499,141.360462770661,33.3328145626465,52.1658923311985,18.9935982499855,38,"Sidewalk","sw","s",0,0,0,1,9.5,-3.49487758022025,0.522538905024646,4.09110181840123,-0.00469581800954332,0.00549692203997407,0.0007020982980317,3.0455330390449,4.93785349088445,2.05799442828728
"3","amend_feature_ds0_fw0_dw0_sw1","Loam Soil",744.2532,101.398598661736,373.035532736698,329.017187295659,13.6242072807663,50.1221268160753,44.2076953509449,38,"Sidewalk","sw","s",0,0,0,1,9.5,-4.12933856913639,0.417012611022301,5.18432438234277,-0.00554829803773285,0.0069658073117358,0.000560310135075403,6.08728574686169,1.66970358663708,6.94479686701337
"4","amend_feature_ds0_fw0_dw0_sw2","Loam Soil",744.2532,96.2323187227341,373.357019830692,335.269460686468,12.9300510528855,50.1653227464379,45.0477687817087,76,"Sidewalk","sw","l",0,0,0,2,19,-9.29561850813816,0.738499705016068,11.4365977731518,-0.0124898603165403,0.0153665416193733,0.000992269438701866,13.7031839616598,2.95692641805936,15.3201926667222
"5","amend_feature_ds0_fw0_dw0_sw2","Clay Loam Soil",744.2532,244.377192316044,388.499683024055,148.918126413592,32.8352222491008,52.1999345147667,20.0090676685827,76,"Sidewalk","sw","l",0,0,0,2,19,-7.19822429673818,0.775898945580991,11.6487654613326,-0.00967174114500035,0.0156516162259465,0.00104252013371389,6.27273185253896,7.3320383997627,5.85981368344834
"6","amend_feature_ds0_fw0_dw0_sw2","Measured Soil",744.2532,12.5053139074827,354.502338238764,393.194366641769,1.6802499347645,47.6319535124289,52.8307257048769,76,"Sidewalk","sw","l",0,0,0,2,19,-2.28283001109626,1.05631191589094,1.4383585782881,-0.00306727604408857,0.00193261994478237,0.0014192910637011,21.1789463564912,3.25453621436058,29.8363705507367
"7","amend_feature_ds0_fw0_dw1_sw0","Loam Soil",744.2532,104.941709908367,372.866402789833,324.830897515958,14.1002698958321,50.0994020300932,43.645213418761,18,"Driveway","dw","s",0,0,1,0,4.5,-0.586227322504911,0.247882664157316,0.998034602642008,-0.000787671887074064,0.00134098798989646,0.000333062275254331,0.86419003066909,0.99251332566173,1.33694326790312
"8","amend_feature_ds0_fw0_dw1_sw0","Measured Soil",744.2532,14.4661626163123,353.730054971777,391.7876132715,1.94371520556611,47.5281873120299,52.6417102770267,18,"Driveway","dw","s",0,0,1,0,4.5,-0.321981302266618,0.284028648903586,0.0316052080192435,-0.000432623336072479,4.24656662802975e-05,0.000381629059711918,2.98718025229708,0.875102808049798,0.655597784884475
"9","amend_feature_ds0_fw0_dw1_sw0","Clay Loam Soil",744.2532,250.710485535034,387.85448859282,138.979424306799,33.6861817369457,52.1132443357744,18.6736750754715,18,"Driveway","dw","s",0,0,1,0,4.5,-0.864931077748935,0.130704514345609,1.71006335453936,-0.0011621462665514,0.00229769029483428,0.000175618343791615,0.753724876856799,1.23512285158056,0.860233015915399
"10","amend_feature_ds0_fw0_dw2_sw0","Measured Soil",744.2532,14.3188802514754,353.957947783623,391.875863865202,1.92392592352648,47.5588076455195,52.6535678805549,36,"Driveway","dw","l",0,0,2,0,9,-0.469263667103563,0.511921460750102,0.119855801721542,-0.000630516156468744,0.000161041701562777,0.000687832394607241,4.35359180680477,1.57724901883203,2.48621043931596
"11","amend_feature_ds0_fw0_dw2_sw0","Clay Loam Soil",744.2532,250.008353502363,387.936886587844,141.011697020691,33.5918412581045,52.1243155673156,18.946737080968,36,"Driveway","dw","l",0,0,2,0,9,-1.56706311041987,0.213102509369833,3.74233606843163,-0.00210555105496337,0.00502831034979981,0.000286330659202853,1.36558216060644,2.01376196047724,1.88255074536879
"12","amend_feature_ds0_fw0_dw2_sw0","Loam Soil",744.2532,104.324217153885,373.01367078692,326.809281685031,14.0173017937827,50.1191893816406,43.9110348044229,36,"Driveway","dw","l",0,0,2,0,9,-1.20372007698718,0.395150661244429,2.97641877171526,-0.00161735290756853,0.00399920184651576,0.000530935790728786,1.77447015912473,1.58216912127521,3.98713935245444
"13","amend_feature_ds0_fw1_dw0_sw0","Clay Loam Soil",744.2532,250.57947421226,387.843158854021,138.18640030424,33.6685786789039,52.1117220394915,18.5671220902026,12,"Frontwalk","fw","s",0,1,0,0,3,-0.99594240052258,0.119374775546362,0.917039351980236,-0.00133817684696899,0.00123216044214554,0.000160395380962234,0.867891769069077,1.12805983724283,0.461308948217044
